X,Y,pop_defacto_2020
-15193.77,23283.10,81.50
-14993.77,23283.10,114.90
-14793.77,23283.10,191.38
-14593.77,23283.10,99.84
-14393.77,23283.10,102.97
-14193.77,23283.10,120.44
-13993.77,23283.10,132.32
-13793.77,23283.10,75.63
-13593.77,23283.10,95.20
-13393.77,23283.10,92.99
-13193.77,23283.10,79.04
-12993.77,23283.10,97.11
-12793.77,23283.10,66.24
-12593.77,23283.10,68.20
-12393.77,23283.10,76.67
-12193.77,23283.10,93.87
-11993.77,23283.10,53.14
-11793.77,23283.10,55.30
-11593.77,23283.10,90.18
-11393.77,23283.10,84.79
-11193.77,23283.10,147.81
-10993.77,23283.10,137.94
-10793.77,23283.10,166.03
-10593.77,23283.10,161.74
-10393.77,23283.10,171.39
-10193.77,23283.10,80.18
-9993.77,23283.10,101.54
-9793.77,23283.10,116.02
-9593.77,23283.10,103.24
-9393.77,23283.10,147.28
-9193.77,23283.10,124.09
-8993.77,23283.10,136.04
-8793.77,23283.10,113.13
-8593.77,23283.10,191.19
-8393.77,23283.10,116.72
-8193.77,23283.10,109.39
-7993.77,23283.10,140.13
-7793.77,23283.10,151.97
-7593.77,23283.10,219.95
-7393.77,23283.10,133.31
-7193.77,23283.10,131.76
-6993.77,23283.10,129.08
-6793.77,23283.10,172.89
-6593.77,23283.10,101.12
-6393.77,23283.10,99.65
-6193.77,23283.10,103.15
-5993.77,23283.10,121.46
-5793.77,23283.10,226.15
-5593.77,23283.10,170.14
-5393.77,23283.10,144.09
-5193.77,23283.10,116.34
-4993.77,23283.10,186.04
-4793.77,23283.10,154.14
-4593.77,23283.10,200.41
-4393.77,23283.10,220.61
-4193.77,23283.10,182.51
-3993.77,23283.10,232.24
-3793.77,23283.10,181.94
-3593.77,23283.10,202.40
-3393.77,23283.10,277.92
-3193.77,23283.10,478.88
-2993.77,23283.10,303.40
-2793.77,23283.10,226.15
-2593.77,23283.10,147.51
-2393.77,23283.10,62.36
-2193.77,23283.10,181.04
-1993.77,23283.10,170.36
-1793.77,23283.10,185.54
-1593.77,23283.10,192.99
-1393.77,23283.10,312.56
-1193.77,23283.10,226.17
-993.77,23283.10,182.88
-793.77,23283.10,152.38
-593.77,23283.10,132.19
-393.77,23283.10,228.77
-193.77,23283.10,155.31
6.23,23283.10,153.33
206.23,23283.10,160.55
406.23,23283.10,204.89
606.23,23283.10,156.19
806.23,23283.10,200.41
1006.23,23283.10,254.18
1206.23,23283.10,295.25
1406.23,23283.10,382.35
1606.23,23283.10,198.68
1806.23,23283.10,171.65
2006.23,23283.10,154.79
2206.23,23283.10,232.25
2406.23,23283.10,128.04
2606.23,23283.10,129.35
2806.23,23283.10,125.55
3006.23,23283.10,123.97
3206.23,23283.10,171.10
3406.23,23283.10,118.38
3606.23,23283.10,110.88
3806.23,23283.10,106.57
4006.23,23283.10,182.11
4206.23,23283.10,149.62
4406.23,23283.10,134.69
4606.23,23283.10,158.75
4806.23,23283.10,191.98
5006.23,23283.10,298.78
5206.23,23283.10,247.33
5406.23,23283.10,225.70
5606.23,23283.10,247.05
5806.23,23283.10,546.88
6006.23,23283.10,434.51
6206.23,23283.10,447.64
6406.23,23283.10,451.69
6606.23,23283.10,420.85
6806.23,23283.10,543.65
7006.23,23283.10,269.82
7206.23,23283.10,234.96
7406.23,23283.10,211.11
7606.23,23283.10,310.22
7806.23,23283.10,207.78
8006.23,23283.10,248.42
8206.23,23283.10,331.16
8406.23,23283.10,313.77
8606.23,23283.10,461.42
8806.23,23283.10,268.43
9006.23,23283.10,232.91
9206.23,23283.10,199.41
9406.23,23283.10,278.45
9606.23,23283.10,171.64
9806.23,23283.10,176.10
10006.23,23283.10,172.12
10206.23,23283.10,171.36
10406.23,23283.10,245.52
10606.23,23283.10,176.34
10806.23,23283.10,212.59
11006.23,23283.10,240.22
11206.23,23283.10,308.40
11406.23,23283.10,163.41
11606.23,23283.10,141.30
11806.23,23283.10,107.55
12006.23,23283.10,113.76
12206.23,23283.10,163.73
12406.23,23283.10,112.95
12606.23,23283.10,120.38
12806.23,23283.10,143.03
13006.23,23283.10,227.55
13206.23,23283.10,170.91
13406.23,23283.10,162.91
13606.23,23283.10,131.30
13806.23,23283.10,108.16
14006.23,23283.10,123.51
14206.23,23283.10,89.96
14406.23,23283.10,73.88
14606.23,23283.10,61.01
14806.23,23283.10,112.29
15006.23,23283.10,99.24
15206.23,23283.10,127.41
15406.23,23283.10,127.07
15606.23,23283.10,127.65
15806.23,23283.10,179.71
16006.23,23283.10,113.16
16206.23,23283.10,128.71
16406.23,23283.10,109.04
16606.23,23283.10,115.51
16806.23,23283.10,40.51
17006.23,23283.10,36.90
17206.23,23283.10,31.15
17406.23,23283.10,36.35
17606.23,23283.10,85.02
17806.23,23283.10,63.11
18006.23,23283.10,68.06
18206.23,23283.10,64.74
18406.23,23283.10,78.63
18606.23,23283.10,34.17
18806.23,23283.10,34.98
19006.23,23283.10,45.37
19206.23,23283.10,45.87
19406.23,23283.10,104.83
19606.23,23283.10,69.20
19806.23,23283.10,111.88
20006.23,23283.10,139.52
20206.23,23283.10,165.81
20406.23,23283.10,74.62
20606.23,23283.10,63.40
20806.23,23283.10,47.68
21006.23,23283.10,41.80
21206.23,23283.10,40.46
21406.23,23283.10,19.37
21606.23,23283.10,20.06
21806.23,23283.10,25.74
22006.23,23283.10,29.41
22206.23,23283.10,50.79
22406.23,23283.10,46.97
22606.23,23283.10,57.52
22806.23,23283.10,70.48
23006.23,23283.10,177.66
23206.23,23283.10,135.47
23406.23,23283.10,103.20
23606.23,23283.10,91.57
23806.23,23283.10,92.51
24006.23,23283.10,152.80
24206.23,23283.10,89.73
24406.23,23283.10,53.66
24606.23,23283.10,52.02
24806.23,23283.10,86.94
25006.23,23283.10,61.08
25206.23,23283.10,58.83
25406.23,23283.10,54.06
25606.23,23283.10,47.13
25806.23,23283.10,44.96
26006.23,23283.10,25.91
26206.23,23283.10,22.37
26406.23,23283.10,21.11
26606.23,23283.10,46.36
26806.23,23283.10,35.22
27006.23,23283.10,37.09
27206.23,23283.10,42.42
27406.23,23283.10,43.83
27606.23,23283.10,64.15
27806.23,23283.10,36.82
28006.23,23283.10,34.83
28206.23,23283.10,37.03
28406.23,23283.10,60.29
28606.23,23283.10,34.01
28806.23,23283.10,25.39
29006.23,23283.10,23.89
29206.23,23283.10,24.54
29406.23,23283.10,38.19
29606.23,23283.10,28.25
29806.23,23283.10,31.44
30006.23,23283.10,35.72
30206.23,23283.10,61.14
30406.23,23283.10,43.69
30606.23,23283.10,39.79
30806.23,23283.10,37.23
31006.23,23283.10,41.46
31206.23,23283.10,62.01
31406.23,23283.10,41.67
31606.23,23283.10,46.55
31806.23,23283.10,46.91
32006.23,23283.10,121.60
32206.23,23283.10,108.74
32406.23,23283.10,113.29
32606.23,23283.10,114.93
32806.23,23283.10,106.84
33006.23,23283.10,89.62
33206.23,23283.10,42.35
33406.23,23283.10,29.10
33606.23,23283.10,25.87
33806.23,23283.10,32.84
34006.23,23283.10,23.73
34206.23,23283.10,23.42
34406.23,23283.10,23.05
34606.23,23283.10,35.20
34806.23,23283.10,35.75
35006.23,23283.10,21.39
35206.23,23283.10,16.83
35406.23,23283.10,15.58
35606.23,23283.10,19.65
35806.23,23283.10,12.92
36006.23,23283.10,13.14
36206.23,23283.10,12.01
36406.23,23283.10,11.76
36606.23,23283.10,15.95
36806.23,23283.10,9.43
37006.23,23283.10,8.18
37206.23,23283.10,7.74
